ORCID,full_name,given_name,family_name,credit_name,status_code,error
0000-0001-5002-7605,Thomas Del Prete,Thomas,Del Prete,,200,
0000-0001-5006-2873,Xavier Roberts-Gaal,Xavier,Roberts-Gaal,,200,
0000-0001-5006-3067,Carolyn M. Boudreau,Carolyn,Boudreau,Carolyn M. Boudreau,200,
0000-0001-5007-193X,Rui Wang,Rui,Wang,,200,
0000-0001-5010-2097,ZUI-SHEN YEN,ZUI-SHEN,YEN,,200,
0000-0001-5010-9563,Nazia Binte Ali,Nazia Binte,Ali,Nazia Binte Ali,200,
0000-0001-5018-4440,Rishi Hazra,Rishi,Hazra,,200,
0000-0001-5018-5419,Zhiyu Yan,Zhiyu (Roman),Yan,Zhiyu Yan,200,
0000-0001-5021-1015,Erika Weisz,Erika,Weisz,,200,
0000-0001-5023-4399,Andrea L. Roberts,Andrea,Roberts,Andrea L. Roberts,200,
0000-0001-5023-8795,Alison Armstrong,Alison,Armstrong,,200,
0000-0001-5028-5903,Chong Shao,Chong,Shao,,200,
0000-0001-5028-7028,Adam Palmer,Adam,Palmer,,200,
0000-0001-5029-173X,Filiz Katman,Filiz,Katman,,200,
0000-0001-5029-6119,Rohit Kulkarni,Rohit,Kulkarni,,200,
0000-0001-5034-2488,Hamid Pahlevaninezhad,Hamid,Pahlevaninezhad,,200,
0000-0001-5034-2736,Monika Saxena,Monika,Saxena,,200,
0000-0001-5034-2963,Pierpaolo Peruzzi,Pierpaolo,Peruzzi,,200,
0000-0001-5035-2598,Max Kuhelj Bugaric,Max,Kuhelj Bugaric,,200,
0000-0001-5035-6687,Mei Sheng Duh,Mei Sheng,Duh,,200,
0000-0001-5035-8201,Alice T Wang,Alice,Wang,Alice T Wang,200,
0000-0001-5035-8463,Mohammed Moustapha Anwar,Mohammed,Moustapha Anwar,,200,
0000-0001-5036-5532,Timothy Gleason,Timothy,Gleason,,200,
0000-0001-5036-7247,Carol L. Shen,Carol,Shen,Carol L. Shen,200,
0000-0001-5039-2602,Rahat Sabyrbekov,Rahat,Sabyrbekov,,200,
0000-0001-5041-1535,Lucinda Lai,Lucinda,Lai,,200,
0000-0001-5043-6206,Ameet Sarpatwari,Ameet,Sarpatwari,,200,
0000-0001-5045-0358,Afif Siddiki,Afif,Siddiki,,200,
0000-0001-5055-320X,Daniel G. Nocera,Daniel,Nocera,Daniel G. Nocera,200,
0000-0001-5057-6751,Egbe Enobakhare,Egbe,Enobakhare,,200,
0000-0001-5058-6669,Stephanie J Conway,Stephanie,Conway,Stephanie J Conway,200,
0000-0001-5059-6920,Peter Orton,Peter,Orton,,200,
0000-0001-5061-747X,Claire Abraham,Claire,Abraham,,200,
0000-0001-5062-7934,Sheila Johnson,Sheila,Johnson,,200,
0000-0001-5067-2647,Jun Wen,Jun,Wen,,200,
0000-0001-5067-4247,Frank Padberg,Frank,Padberg,,200,
0000-0001-5070-0820,Sangmin Lee,Sangmin,Lee,Sangmin Lee,200,
0000-0001-5074-3409,Martha Falkenstein,Martha,Falkenstein,,200,
0000-0001-5075-3033,Alicia Whittington,Alicia,Whittington,,200,
0000-0001-5076-5157,Julie Anne Weaver,Julie Anne,Weaver,Julie Anne Weaver,200,
0000-0001-5076-7945,Daniel Bauer,Daniel,Bauer,,200,
0000-0001-5082-572X,Xingxing Wang,Xingxing,Wang,,200,
0000-0001-5083-0123,Marina Shuster,Marina,Shuster,,200,
0000-0001-5083-5143,Bettine Gibbs,Bettine,Gibbs,,200,
0000-0001-5084-0911,Tse Yang Lim,Tse Yang,Lim,Tse Yang Lim,200,
0000-0001-5084-6117,Howard Waitzkin,Howard,Waitzkin,,200,
0000-0001-5084-8067,Jeu Park,Jeu,Park,,200,
0000-0001-5085-7924,Conor K. Camplisson,Conor,Camplisson,Conor K. Camplisson,200,
0000-0001-5090-0814,Maya Sen,Maya,Sen,,200,
0000-0001-5091-5370,seyed mostafa mousavi,seyed mostafa,mousavi,,200,
0000-0001-5092-0268,Armin Heydari,Armin,Heydari,,200,
0000-0001-5096-3778,Seth Goldman,Seth,Goldman,,200,
0000-0001-5099-5411,Jingcheng Li,Jingcheng,Li,,200,
0000-0001-5100-689X,Heejin Roh,Heejin,Roh,,200,
0000-0001-5102-1002,Jiayu Yang ,Jiayu,Yang ,,200,
0000-0001-5104-6437,Felita Zhang,Felita,Zhang,,200,
0000-0001-5105-308X,Allen Lin,Allen,Lin,,200,
0000-0001-5110-5150,Raghed Almamlouk,Raghed,Almamlouk,,200,
0000-0001-5110-8407,Stephanie Wu,Stephanie,Wu,,200,
0000-0001-5111-1622,Emma Garcia,Emma,Garcia,,200,
0000-0001-5113-2626,Sarah Politz,Sarah,Politz,,200,
0000-0001-5114-8783,Justin Gelzhiser,Justin,Gelzhiser,,200,
0000-0001-5117-3647,Kelly Arnett,Kelly,Arnett,,200,
0000-0001-5120-2583,Ruth Mari Löllgen ,Ruth,Lollgen,Ruth Mari Löllgen ,200,
0000-0001-5120-962X,Eric Rubin,Eric,Rubin,,200,
0000-0001-5121-4349,Yogya Kalra,Yogya,Kalra,,200,
0000-0001-5124-1021,Dr. Ralph A Nixon,Ralph A,Nixon,Dr. Ralph A Nixon,200,
0000-0001-5127-4659,Dan H. Barouch,Dan H.,Barouch,Dan H. Barouch,200,
0000-0001-5129-8829,Eleonora Maria Aiello,Eleonora Maria,Aiello,,200,
0000-0001-5132-1339,David F. Phillips,David,Phillips,David F. Phillips,200,
0000-0001-5132-4679,Kazuhiko Watanabe,Kazuhiko,Watanabe,Kazuhiko Watanabe,200,
0000-0001-5135-0316,Yan Luo,Yan,Luo,,200,
0000-0001-5138-2772,Ron S. Gejman,Ron,Gejman,Ron S. Gejman,200,
0000-0001-5138-4305,Suzanne Cashman,Suzanne,Cashman,,200,
0000-0001-5139-612X,Nayantara Mudur,Nayantara,Mudur,,200,
0000-0001-5140-9664,Helen Yang,Helen,Yang,,200,
0000-0001-5142-8996,Bianca Morejon,Bianca,Morejon,Bianca Morejon,200,
0000-0001-5146-7901,Francisco Amparo,Francisco,Amparo,,200,
0000-0001-5147-3244,Carolina Lahmann,Carolina,Lahmann,,200,
0000-0001-5147-4140,Andrew Ward,Andrew,Ward,,200,
0000-0001-5150-7571,Seong Won Kim,Seong Won,Kim,,200,
0000-0001-5154-5084,Daniel Feikin,Daniel,Feikin,,200,
0000-0001-5158-0453, Herbert, Herbert,,,200,
0000-0001-5161-9864,Tae-Kyung Kim,Tae-Kyung,Kim,,200,
0000-0001-5167-3975,Fan-Yun Lan,Fan-Yun,Lan,,200,
0000-0001-5167-8119,Huize Wang,Huize,Wang,,200,
0000-0001-5169-2404,Sezen Kislal,Sezen,Kislal,,200,
0000-0001-5170-2940,Ran Xie,Ran,Xie,,200,
0000-0001-5173-1063,Yu Luo,Yu,Luo,,200,
0000-0001-5173-4686,Sarah J Halford,Sarah J,Halford,,200,
0000-0001-5176-7496,Jerome L. Ackerman,Jerome,Ackerman,Jerome L. Ackerman,200,
0000-0001-5178-3496,Elena L Glassman,Elena,Glassman,Elena L Glassman,200,
0000-0001-5181-1573,Heather C. Hill,Heather,Hill,Heather C. Hill,200,
0000-0001-5181-8433,Stefano Olgiati,Stefano,Olgiati,,200,
0000-0001-5184-0323,SELİS ÖNEL,SELİS,ÖNEL,,200,
0000-0001-5184-5829,Kristen Hayashida,Kristen,Hayashida,,200,
0000-0001-5184-7015,Douglas F. Bauer,Douglas F.,Bauer,,200,
0000-0001-5186-5838,Jennifer Jiang,Jennifer,Jiang,,200,
0000-0001-5186-9775,John Clohessy,John,Clohessy,,200,
0000-0001-5189-1227,Olivier Pourquie,Olivier,Pourquie,,200,
0000-0001-5191-4580,Gianmarco Rinaldi,Gianmarco,Rinaldi,,200,
0000-0001-5195-1533,Matthew J White,Matthew,White,Matthew J White,200,
0000-0001-5199-279X,Hannah Kinney,Hannah,Kinney,,200,
0000-0001-5200-7325,Yenee Soh,Yenee,Soh,,200,
0000-0001-5201-6774,Giulia Menichetti,Giulia,Menichetti,,200,
0000-0001-5207-7884,David Howell,David,Howell,,200,
0000-0001-5208-788X,Kailyn Doiron,Kailyn,Doiron,,200,
0000-0001-5212-5292,Richard Albert,Richard,Albert,,200,
0000-0001-5213-421X,Hannah Greenwald Healy,Hannah,Greenwald Healy,,200,
0000-0001-5215-021X,Subhra Sundar Goswami,Subhra Sundar,Goswami,,200,
0000-0001-5216-2018,P. Emanuela Voinescu,P. Emanuela,Voinescu,,200,
0000-0001-5218-9376,Valeria Schmidt,Valeria,Schmidt,,200,
0000-0001-5219-5776,Christopher Petty,Christopher,Petty,,200,
0000-0001-5220-2665,Qu Zhang,Qu,Zhang,,200,
0000-0001-5221-6194,Minja Velimirovic,Minja,Velimirovic,,200,
0000-0001-5223-3154,Ishu Gupta,Ishu,Gupta,,200,
0000-0001-5227-4829,Nathan Oman,Nathan,Oman,,200,
0000-0001-5229-2111,Irene G. Wong,Irene,Wong,Irene G. Wong,200,
0000-0001-5229-5005,Paul Anderson,Paul,Anderson,,200,
0000-0001-5229-9196,Charlie Y. Shi,Charlie,Shi,Charlie Y. Shi,200,
0000-0001-5233-1213,Ilan Youngster,Ilan,Youngster,,200,
0000-0001-5233-7279,Ameen Barghi,Ameen,Barghi,,200,
0000-0001-5236-076X,Trevor C. W. Farrow,Trevor,Farrow,Trevor C. W. Farrow,200,
0000-0001-5238-4462,Nicholas Lesica,Nicholas,Lesica,,200,
0000-0001-5238-6564,Abigail McVicar,Abigail,McVicar,,200,
0000-0001-5240-5921,Arash Hadipour Niktarash,Arash,Hadipour Niktarash,,200,
0000-0001-5245-4782,Deepsing Syangtan,Deepsing,Syangtan,,200,
0000-0001-5250-6837,Nofar Rimon,Nofar,Rimon,,200,
0000-0001-5252-252X,Hwan Bae,Hwan,Bae,,200,
0000-0001-5254-5940,Yixue Wang,Yixue,Wang,,200,
0000-0001-5256-5861,Tianyi Feng,Tianyi,Feng,,200,
0000-0001-5259-0047,Patricia A Nelson,Patricia,Nelson,Patricia A Nelson,200,
0000-0001-5260-3274,Nancy Bradt,Nancy,Bradt,,200,
0000-0001-5260-6678,Lakshmi-Prasad Potluri,Lakshmi-Prasad,Potluri,,200,
0000-0001-5261-2250,Cory Smith,Cory,Smith,,200,
0000-0001-5264-3196,Raghu Chivukula,Raghu,Chivukula,,200,
0000-0001-5266-4253,Richard Zare,Richard,Zare,,200,
0000-0001-5267-9631,Liangxia Xie,Liangxia,Xie,,200,
0000-0001-5272-0825,Dwight Williams,Dwight,Williams,,200,
0000-0001-5273-2201,Jeffrey Boone Miller,Jeffrey Boone,Miller,Jeffrey Boone Miller,200,
0000-0001-5273-6851,Pichamol Jirapinyo,Pichamol,Jirapinyo,,200,
0000-0001-5280-5220,Fatima Mostefai,Fatima,Mostefai,,200,
0000-0001-5281-2463,Sun Lee,Sun,Lee,,200,
0000-0001-5283-067X,Bohao Fang,Bohao,Fang,,200,
0000-0001-5283-3694,Peter Ren,Peter,Ren,,200,
0000-0001-5284-9944,Stefania Morganti,Stefania,Morganti,,200,
0000-0001-5286-3623,Ashveena Gajeelee,Ashveena,Gajeelee,,200,
0000-0001-5286-639X,Charles Fortenbach,Charles,Fortenbach,,200,
0000-0001-5292-641X,Michael Berry,Michael,Berry,,200,
0000-0001-5293-2932,Akash Datwani,Akash,Datwani,,200,
0000-0001-5294-4941,Alexandra A Geim,Alexandra Andrea,Geim,Alexandra A Geim,200,
0000-0001-5295-8577,Dov Ronen,Dov,Ronen,Dov Ronen,200,
0000-0001-5295-9844,Muhammad Pate,Muhammad,Pate,,200,
0000-0001-5296-6825,Thomas Thornley,Thomas,Thornley,,200,
0000-0001-5300-6906,Ziqian Zeng,Ziqian,Zeng,,200,
0000-0001-5306-0208,Akash Patnaik,Akash,Patnaik,,200,
0000-0001-5307-1177,Bobby Cervantes,Bobby,Cervantes,,200,
0000-0001-5307-4124,Samuel Veroneau,Samuel,Veroneau,,200,
0000-0001-5307-9021,Nora Kory,Nora,Kory,,200,
0000-0001-5308-4576,Shao-Xiong Lennon Luo,Shao-Xiong Lennon,Luo,Shao-Xiong Lennon Luo,200,
0000-0001-5308-9537,Brandon Johnston,Brandon,Johnston,,200,
0000-0001-5310-2682,Steven Kalkanis,Steven,Kalkanis,,200,
0000-0001-5312-2923,Fareeda Abo-Rass,Fareeda,Abo-Rass,,200,
0000-0001-5314-1681,Alejandra Avalos-Pacheco,Alejandra,Avalos-Pacheco,,200,
0000-0001-5314-2959,Aditya Kamat,Aditya,Kamat,,200,
0000-0001-5315-9275,Simone Francescato,Simone,Francescato,,200,
0000-0001-5317-087X,Anatoly Rinberg,Anatoly,Rinberg,,200,
0000-0001-5319-3537,Ruolan Xue,Ruolan,Xue,,200,
0000-0001-5319-3860,Peng Zou,Peng,Zou,,200,
0000-0001-5320-6107,ZHITAO LIANG,ZHITAO,LIANG,,200,
0000-0001-5322-6271,Timothy Harden,Timothy,Harden,,200,
0000-0001-5322-783X,Arnold Fernandes,Arnold,Fernandes,,200,
0000-0001-5324-5165,Sukin Sim,Sukin,Sim,,200,
0000-0001-5324-8489,Linda Andreev,Linda,Andreev,,200,
